From_Station,From_City,From_Country,To_Station,To_City,To_Country,Fare_Rate
Heerlen,Heerlen,NL,Leiden Centraal,Leiden,NL,135
Maastricht,Maastricht,NL,Leiden Centraal,Leiden,NL,161
Nijmegen,Nijmegen,NL,Leiden Centraal,Leiden,NL,127
Rotterdam Centraal,Rotterdam,NL,Leiden Centraal,Leiden,NL,38
Tilburg,Tilburg,NL,Leiden Centraal,Leiden,NL,109
Utrecht Centraal,Utrecht,NL,Leiden Centraal,Leiden,NL,50
Amsterdam Centraal,Amsterdam,NL,Maastricht,Maastricht,NL,149
Delft,Delft,NL,Maastricht,Maastricht,NL,180
Ede-Wageningen,Wageningen,NL,Maastricht,Maastricht,NL,70
Eindhoven Centraal,Eindhoven,NL,Maastricht,Maastricht,NL,98
Enschede,Enschede,NL,Maastricht,Maastricht,NL,133
Groningen,Groningen,NL,Maastricht,Maastricht,NL,233
Heerlen,Heerlen,NL,Maastricht,Maastricht,NL,26
Leiden Centraal,Leiden,NL,Maastricht,Maastricht,NL,161
Nijmegen,Nijmegen,NL,Maastricht,Maastricht,NL,72
Rotterdam Centraal,Rotterdam,NL,Maastricht,Maastricht,NL,167
Tilburg,Tilburg,NL,Maastricht,Maastricht,NL,135
Utrecht Centraal,Utrecht,NL,Maastricht,Maastricht,NL,111
Amsterdam Centraal,Amsterdam,NL,Nijmegen,Nijmegen,NL,115
Delft,Delft,NL,Nijmegen,Nijmegen,NL,136
Ede-Wageningen,Wageningen,NL,Nijmegen,Nijmegen,NL,36
Eindhoven Centraal,Eindhoven,NL,Nijmegen,Nijmegen,NL,75
Enschede,Enschede,NL,Nijmegen,Nijmegen,NL,101
Groningen,Groningen,NL,Nijmegen,Nijmegen,NL,201
Heerlen,Heerlen,NL,Nijmegen,Nijmegen,NL,46
Leiden Centraal,Leiden,NL,Nijmegen,Nijmegen,NL,127
Maastricht,Maastricht,NL,Nijmegen,Nijmegen,NL,72
Rotterdam Centraal,Rotterdam,NL,Nijmegen,Nijmegen,NL,122
Tilburg,Tilburg,NL,Nijmegen,Nijmegen,NL,65
Utrecht Centraal,Utrecht,NL,Nijmegen,Nijmegen,NL,77
Amsterdam Centraal,Amsterdam,NL,Rotterdam Centraal,Rotterdam,NL,86
Delft,Delft,NL,Rotterdam Centraal,Rotterdam,NL,14
Ede-Wageningen,Wageningen,NL,Rotterdam Centraal,Rotterdam,NL,97
Eindhoven Centraal,Eindhoven,NL,Rotterdam Centraal,Rotterdam,NL,108
Enschede,Enschede,NL,Rotterdam Centraal,Rotterdam,NL,191
Groningen,Groningen,NL,Rotterdam Centraal,Rotterdam,NL,249
Heerlen,Heerlen,NL,Rotterdam Centraal,Rotterdam,NL,141
Leiden Centraal,Leiden,NL,Rotterdam Centraal,Rotterdam,NL,38
Maastricht,Maastricht,NL,Rotterdam Centraal,Rotterdam,NL,167
Nijmegen,Nijmegen,NL,Rotterdam Centraal,Rotterdam,NL,122
Tilburg,Tilburg,NL,Rotterdam Centraal,Rotterdam,NL,71
Utrecht Centraal,Utrecht,NL,Rotterdam Centraal,Rotterdam,NL,56
Amsterdam Centraal,Amsterdam,NL,Tilburg,Tilburg,NL,109
Delft,Delft,NL,Tilburg,Tilburg,NL,85
Ede-Wageningen,Wageningen,NL,Tilburg,Tilburg,NL,101
Eindhoven Centraal,Eindhoven,NL,Tilburg,Tilburg,NL,37
Enschede,Enschede,NL,Tilburg,Tilburg,NL,166
Groningen,Groningen,NL,Tilburg,Tilburg,NL,263
Heerlen,Heerlen,NL,Tilburg,Tilburg,NL,111
Leiden Centraal,Leiden,NL,Tilburg,Tilburg,NL,109
Maastricht,Maastricht,NL,Tilburg,Tilburg,NL,135
Nijmegen,Nijmegen,NL,Tilburg,Tilburg,NL,65
Rotterdam Centraal,Rotterdam,NL,Tilburg,Tilburg,NL,71
Utrecht Centraal,Utrecht,NL,Tilburg,Tilburg,NL,70
Amsterdam Centraal,Amsterdam,NL,Utrecht Centraal,Utrecht,NL,39
Delft,Delft,NL,Utrecht Centraal,Utrecht,NL,69
Ede-Wageningen,Wageningen,NL,Utrecht Centraal,Utrecht,NL,41
Eindhoven Centraal,Eindhoven,NL,Utrecht Centraal,Utrecht,NL,80
Enschede,Enschede,NL,Utrecht Centraal,Utrecht,NL,135
Groningen,Groningen,NL,Utrecht Centraal,Utrecht,NL,193
Heerlen,Heerlen,NL,Utrecht Centraal,Utrecht,NL,85
Leiden Centraal,Leiden,NL,Utrecht Centraal,Utrecht,NL,50
Maastricht,Maastricht,NL,Utrecht Centraal,Utrecht,NL,111
Nijmegen,Nijmegen,NL,Utrecht Centraal,Utrecht,NL,77
Rotterdam Centraal,Rotterdam,NL,Utrecht Centraal,Utrecht,NL,56
Tilburg,Tilburg,NL,Utrecht Centraal,Utrecht,NL,70
