From_Station,From_City,To_Station,To_City,Fare_Rate
Deventer,Deventer,Bunnik,Bunnik,87
Deventer,Deventer,Delft,Delft,148
Deventer,Deventer,Diemen,Diemen,96
Deventer,Deventer,Driebergen-Zeist,Zeist,91
Deventer,Deventer,Dronten,Dronten,63
Deventer,Deventer,Ede Centrum,Ede,64
Deventer,Deventer,Ede-Wageningen,Wageningen,62
Deventer,Deventer,Eindhoven Centraal,Eindhoven,139
Deventer,Deventer,Enschede,Enschede,61
Deventer,Deventer,Groningen,Groningen,137
Deventer,Deventer,Haarlem,Haarlem,122
Deventer,Deventer,Harlingen,Harlingen,152
Deventer,Deventer,Heerlen,Heerlen,70
Deventer,Deventer,Hilversum,Hilversum,74
Deventer,Deventer,Leeuwarden,Leeuwarden,126
Deventer,Deventer,Leiden Centraal,Leiden,129
Deventer,Deventer,Maarn,Utrechtse Heuvelrug,83
Deventer,Deventer,Maastricht,Maastricht,96
Deventer,Deventer,Nijmegen,Nijmegen,64
Deventer,Deventer,Rheden,Rheden,35
Deventer,Deventer,Rotterdam Centraal,Rotterdam,135
Deventer,Deventer,Tilburg,Tilburg,129
Deventer,Deventer,Utrecht Centraal,Utrech,79
Deventer,Deventer,Vlissingen,Vlissingen,249
Deventer,Deventer,Zwolle,Zwolle,31
Ede Centrum,Ede,Amsterdam Centraal,Amsterdam,77
Ede Centrum,Ede,Arnhem Centraal,Arnhem,19
Ede Centrum,Ede,Breda,Breda,124
Ede Centrum,Ede,Bunnik,Bunnik,35
Ede Centrum,Ede,Delft,Delft,112
Ede Centrum,Ede,Deventer,Deventer,64
Ede Centrum,Ede,Diemen,Diemen,70
Ede Centrum,Ede,Driebergen-Zeist,Zeist,31
Ede Centrum,Ede,Dronten,Dronten,127
Ede Centrum,Ede,Ede-Wageningen,Wageningen,2
Ede Centrum,Ede,Eindhoven Centraal,Eindhoven,113
Ede Centrum,Ede,Enschede,Enschede,101
Ede Centrum,Ede,Groningen,Groningen,201
Ede Centrum,Ede,Haarlem,Haarlem,96
Ede Centrum,Ede,Harlingen,Harlingen,216
Ede Centrum,Ede,Heerlen,Heerlen,46
Ede Centrum,Ede,Hilversum,Hilversum,48
Ede Centrum,Ede,Leeuwarden,Leeuwarden,190
Ede Centrum,Ede,Leiden Centraal,Leiden,93
Ede Centrum,Ede,Maarn,Utrechtse Heuvelrug,23
Ede Centrum,Ede,Maastricht,Maastricht,72
Ede Centrum,Ede,Nijmegen,Nijmegen,38
Ede Centrum,Ede,Rheden,Rheden,29
Ede Centrum,Ede,Rotterdam Centraal,Rotterdam,99
Ede Centrum,Ede,Tilburg,Tilburg,103
Ede Centrum,Ede,Utrecht Centraal,Utrech,43
Ede Centrum,Ede,Vlissingen,Vlissingen,223
Ede Centrum,Ede,Zwolle,Zwolle,95
Eindhoven Centraal,Eindhoven,Amsterdam Centraal,Amsterdam,119
Eindhoven Centraal,Eindhoven,Arnhem Centraal,Arnhem,94
Eindhoven Centraal,Eindhoven,Breda,Breda,58
Eindhoven Centraal,Eindhoven,Bunnik,Bunnik,86
Eindhoven Centraal,Eindhoven,Delft,Delft,122
Eindhoven Centraal,Eindhoven,Deventer,Deventer,139
Eindhoven Centraal,Eindhoven,Diemen,Diemen,118
Eindhoven Centraal,Eindhoven,Driebergen-Zeist,Zeist,90
Eindhoven Centraal,Eindhoven,Dronten,Dronten,178
Eindhoven Centraal,Eindhoven,Ede Centrum,Ede,113
Eindhoven Centraal,Eindhoven,Ede-Wageningen,Wageningen,111
Eindhoven Centraal,Eindhoven,Enschede,Enschede,176
Eindhoven Centraal,Eindhoven,Groningen,Groningen,273
Eindhoven Centraal,Eindhoven,Haarlem,Haarlem,138
Eindhoven Centraal,Eindhoven,Harlingen,Harlingen,288
Eindhoven Centraal,Eindhoven,Heerlen,Heerlen,96
Eindhoven Centraal,Eindhoven,Hilversum,Hilversum,98
Eindhoven Centraal,Eindhoven,Leeuwarden,Leeuwarden,262
Eindhoven Centraal,Eindhoven,Leiden Centraal,Leiden,130
Eindhoven Centraal,Eindhoven,Maarn,Utrechtse Heuvelrug,98
Eindhoven Centraal,Eindhoven,Maastricht,Maastricht,98
Eindhoven Centraal,Eindhoven,Nijmegen,Nijmegen,75
Eindhoven Centraal,Eindhoven,Rheden,Rheden,104
Eindhoven Centraal,Eindhoven,Rotterdam Centraal,Rotterdam,108
Eindhoven Centraal,Eindhoven,Tilburg,Tilburg,37
Eindhoven Centraal,Eindhoven,Utrecht Centraal,Utrech,80
Eindhoven Centraal,Eindhoven,Vlissingen,Vlissingen,157
Eindhoven Centraal,Eindhoven,Zwolle,Zwolle,167
Enschede,Enschede,Amsterdam Centraal,Amsterdam,159
Enschede,Enschede,Arnhem Centraal,Arnhem,82
Enschede,Enschede,Breda,Breda,187
Enschede,Enschede,Bunnik,Bunnik,132
Enschede,Enschede,Delft,Delft,204
Enschede,Enschede,Deventer,Deventer,61
Enschede,Enschede,Diemen,Diemen,152
Enschede,Enschede,Driebergen-Zeist,Zeist,128
Enschede,Enschede,Dronten,Dronten,99
Enschede,Enschede,Ede Centrum,Ede,101
Enschede,Enschede,Ede-Wageningen,Wageningen,99
Enschede,Enschede,Eindhoven Centraal,Eindhoven,176
Enschede,Enschede,Groningen,Groningen,173
Enschede,Enschede,Haarlem,Haarlem,178
Enschede,Enschede,Harlingen,Harlingen,188
Enschede,Enschede,Heerlen,Heerlen,107
Enschede,Enschede,Hilversum,Hilversum,130
Enschede,Enschede,Leeuwarden,Leeuwarden,162
Enschede,Enschede,Leiden Centraal,Leiden,185
Enschede,Enschede,Maarn,Utrechtse Heuvelrug,120
Enschede,Enschede,Maastricht,Maastricht,133
Enschede,Enschede,Nijmegen,Nijmegen,101
Enschede,Enschede,Rheden,Rheden,72
Enschede,Enschede,Rotterdam Centraal,Rotterdam,191
Enschede,Enschede,Tilburg,Tilburg,166
Enschede,Enschede,Utrecht Centraal,Utrech,135
Enschede,Enschede,Vlissingen,Vlissingen,286
Enschede,Enschede,Zwolle,Zwolle,67
Groningen,Groningen,Amsterdam Centraal,Amsterdam,217
Groningen,Groningen,Arnhem Centraal,Arnhem,182
