From_Station,From_City,To_Station,To_City,Fare_Rate
Tilburg,Tilburg,Maarn,Utrechtse Heuvelrug,88
Tilburg,Tilburg,Maastricht,Maastricht,135
Tilburg,Tilburg,Nijmegen,Nijmegen,65
Tilburg,Tilburg,Rheden,Rheden,94
Tilburg,Tilburg,Rotterdam Centraal,Rotterdam,71
Tilburg,Tilburg,Utrecht Centraal,Utrech,70
Tilburg,Tilburg,Vlissingen,Vlissingen,120
Tilburg,Tilburg,Zwolle,Zwolle,157
Utrecht Centraal,Utrech,Amsterdam Centraal,Amsterdam,39
Utrecht Centraal,Utrech,Arnhem Centraal,Arnhem,58
Utrecht Centraal,Utrech,Breda,Breda,91
Utrecht Centraal,Utrech,Bunnik,Bunnik,8
Utrecht Centraal,Utrech,Delft,Delft,69
Utrecht Centraal,Utrech,Deventer,Deventer,79
Utrecht Centraal,Utrech,Diemen,Diemen,38
Utrecht Centraal,Utrech,Driebergen-Zeist,Zeist,12
Utrecht Centraal,Utrech,Dronten,Dronten,98
Utrecht Centraal,Utrech,Ede Centrum,Ede,43
Utrecht Centraal,Utrech,Ede-Wageningen,Wageningen,41
Utrecht Centraal,Utrech,Eindhoven Centraal,Eindhoven,80
Utrecht Centraal,Utrech,Enschede,Enschede,135
Utrecht Centraal,Utrech,Groningen,Groningen,193
Utrecht Centraal,Utrech,Haarlem,Haarlem,58
Utrecht Centraal,Utrech,Harlingen,Harlingen,208
Utrecht Centraal,Utrech,Heerlen,Heerlen,85
Utrecht Centraal,Utrech,Hilversum,Hilversum,18
Utrecht Centraal,Utrech,Leeuwarden,Leeuwarden,182
Utrecht Centraal,Utrech,Leiden Centraal,Leiden,50
Utrecht Centraal,Utrech,Maarn,Utrechtse Heuvelrug,20
Utrecht Centraal,Utrech,Maastricht,Maastricht,111
Utrecht Centraal,Utrech,Nijmegen,Nijmegen,77
Utrecht Centraal,Utrech,Rheden,Rheden,68
Utrecht Centraal,Utrech,Rotterdam Centraal,Rotterdam,56
Utrecht Centraal,Utrech,Tilburg,Tilburg,70
Utrecht Centraal,Utrech,Vlissingen,Vlissingen,188
Utrecht Centraal,Utrech,Zwolle,Zwolle,87
Ede-Wageningen,Wageningen,Amsterdam Centraal,Amsterdam,79
Ede-Wageningen,Wageningen,Arnhem Centraal,Arnhem,17
Ede-Wageningen,Wageningen,Breda,Breda,122
Ede-Wageningen,Wageningen,Bunnik,Bunnik,33
Ede-Wageningen,Wageningen,Delft,Delft,110
Ede-Wageningen,Wageningen,Deventer,Deventer,62
Ede-Wageningen,Wageningen,Diemen,Diemen,72
Ede-Wageningen,Wageningen,Driebergen-Zeist,Zeist,29
Ede-Wageningen,Wageningen,Dronten,Dronten,125
Ede-Wageningen,Wageningen,Ede Centrum,Ede,2
Ede-Wageningen,Wageningen,Eindhoven Centraal,Eindhoven,111
Ede-Wageningen,Wageningen,Enschede,Enschede,99
Ede-Wageningen,Wageningen,Groningen,Groningen,199
Ede-Wageningen,Wageningen,Haarlem,Haarlem,98
Ede-Wageningen,Wageningen,Harlingen,Harlingen,214
Ede-Wageningen,Wageningen,Heerlen,Heerlen,44
Ede-Wageningen,Wageningen,Hilversum,Hilversum,50
Ede-Wageningen,Wageningen,Leeuwarden,Leeuwarden,188
Ede-Wageningen,Wageningen,Leiden Centraal,Leiden,91
Ede-Wageningen,Wageningen,Maarn,Utrechtse Heuvelrug,21
Ede-Wageningen,Wageningen,Maastricht,Maastricht,70
Ede-Wageningen,Wageningen,Nijmegen,Nijmegen,36
Ede-Wageningen,Wageningen,Rheden,Rheden,27
Ede-Wageningen,Wageningen,Rotterdam Centraal,Rotterdam,97
Ede-Wageningen,Wageningen,Tilburg,Tilburg,101
Ede-Wageningen,Wageningen,Utrecht Centraal,Utrech,41
Ede-Wageningen,Wageningen,Vlissingen,Vlissingen,221
Ede-Wageningen,Wageningen,Zwolle,Zwolle,93
Zwolle,Zwolle,Amsterdam Centraal,Amsterdam,111
Zwolle,Zwolle,Arnhem Centraal,Arnhem,76
Zwolle,Zwolle,Breda,Breda,178
Zwolle,Zwolle,Bunnik,Bunnik,95
Zwolle,Zwolle,Delft,Delft,156
Zwolle,Zwolle,Deventer,Deventer,31
Zwolle,Zwolle,Diemen,Diemen,104
Zwolle,Zwolle,Driebergen-Zeist,Zeist,99
Zwolle,Zwolle,Dronten,Dronten,32
Zwolle,Zwolle,Ede Centrum,Ede,95
Zwolle,Zwolle,Ede-Wageningen,Wageningen,93
Zwolle,Zwolle,Eindhoven Centraal,Eindhoven,167
Zwolle,Zwolle,Enschede,Enschede,67
Zwolle,Zwolle,Groningen,Groningen,106
Zwolle,Zwolle,Haarlem,Haarlem,130
Zwolle,Zwolle,Harlingen,Harlingen,121
Zwolle,Zwolle,Heerlen,Heerlen,101
Zwolle,Zwolle,Hilversum,Hilversum,82
Zwolle,Zwolle,Leeuwarden,Leeuwarden,95
Zwolle,Zwolle,Leiden Centraal,Leiden,137
Zwolle,Zwolle,Maarn,Utrechtse Heuvelrug,107
Zwolle,Zwolle,Maastricht,Maastricht,127
Zwolle,Zwolle,Nijmegen,Nijmegen,95
Zwolle,Zwolle,Rheden,Rheden,66
Zwolle,Zwolle,Rotterdam Centraal,Rotterdam,143
Zwolle,Zwolle,Tilburg,Tilburg,157
Zwolle,Zwolle,Utrecht Centraal,Utrech,87
Zwolle,Zwolle,Vlissingen,Vlissingen,275
