From_Station,From_Country,To_Station,To_Country,Fare_Rate
Rotterdam Centraal,NL,Rheden,NL,124
Tilburg,NL,Rheden,NL,94
Utrecht Centraal,NL,Rheden,NL,68
Vlissingen,NL,Rheden,NL,214
Zwolle,NL,Rheden,NL,66
Arnhem Centraal,NL,Rotterdam Centraal,NL,114
Amersfoort Centraal,NL,Rotterdam Centraal,NL,77
Breda,NL,Rotterdam Centraal,NL,50
Bunnik,NL,Rotterdam Centraal,NL,64
Driebergen-Zeist,NL,Rotterdam Centraal,NL,68
Diemen,NL,Rotterdam Centraal,NL,85
Dronten,NL,Rotterdam Centraal,NL,152
Delft,NL,Rotterdam Centraal,NL,14
Deventer,NL,Rotterdam Centraal,NL,135
Ede-Wageningen,NL,Rotterdam Centraal,NL,97
Ede Centrum,NL,Rotterdam Centraal,NL,99
Eindhoven Centraal,NL,Rotterdam Centraal,NL,108
Enschede,NL,Rotterdam Centraal,NL,191
Groningen,NL,Rotterdam Centraal,NL,249
Haarlem,NL,Rotterdam Centraal,NL,67
Heerlen,NL,Rotterdam Centraal,NL,141
Hilversum,NL,Rotterdam Centraal,NL,74
Leiden Centraal,NL,Rotterdam Centraal,NL,38
Leeuwarden,NL,Rotterdam Centraal,NL,238
Maarn,NL,Rotterdam Centraal,NL,76
Nijmegen,NL,Rotterdam Centraal,NL,122
Rheden,NL,Rotterdam Centraal,NL,124
Tilburg,NL,Rotterdam Centraal,NL,71
Utrecht Centraal,NL,Rotterdam Centraal,NL,56
Vlissingen,NL,Rotterdam Centraal,NL,133
Zwolle,NL,Rotterdam Centraal,NL,143
Arnhem Centraal,NL,Tilburg,NL,84
Amersfoort Centraal,NL,Tilburg,NL,91
Breda,NL,Tilburg,NL,21
Bunnik,NL,Tilburg,NL,76
Driebergen-Zeist,NL,Tilburg,NL,80
Diemen,NL,Tilburg,NL,108
Dronten,NL,Tilburg,NL,168
Delft,NL,Tilburg,NL,85
Deventer,NL,Tilburg,NL,129
Ede-Wageningen,NL,Tilburg,NL,101
Ede Centrum,NL,Tilburg,NL,103
Eindhoven Centraal,NL,Tilburg,NL,37
Enschede,NL,Tilburg,NL,166
Groningen,NL,Tilburg,NL,263
Haarlem,NL,Tilburg,NL,128
Heerlen,NL,Tilburg,NL,111
Hilversum,NL,Tilburg,NL,88
Leiden Centraal,NL,Tilburg,NL,109
Leeuwarden,NL,Tilburg,NL,252
Maarn,NL,Tilburg,NL,88
Nijmegen,NL,Tilburg,NL,65
Rheden,NL,Tilburg,NL,94
Rotterdam Centraal,NL,Tilburg,NL,71
Utrecht Centraal,NL,Tilburg,NL,70
Vlissingen,NL,Tilburg,NL,120
Zwolle,NL,Tilburg,NL,157
Arnhem Centraal,NL,Utrecht Centraal,NL,58
Amersfoort Centraal,NL,Utrecht Centraal,NL,21
Breda,NL,Utrecht Centraal,NL,91
Bunnik,NL,Utrecht Centraal,NL,8
Driebergen-Zeist,NL,Utrecht Centraal,NL,12
Diemen,NL,Utrecht Centraal,NL,38
Dronten,NL,Utrecht Centraal,NL,98
Delft,NL,Utrecht Centraal,NL,69
Deventer,NL,Utrecht Centraal,NL,79
Ede-Wageningen,NL,Utrecht Centraal,NL,41
Ede Centrum,NL,Utrecht Centraal,NL,43
Eindhoven Centraal,NL,Utrecht Centraal,NL,80
Enschede,NL,Utrecht Centraal,NL,135
Groningen,NL,Utrecht Centraal,NL,193
Haarlem,NL,Utrecht Centraal,NL,58
Heerlen,NL,Utrecht Centraal,NL,85
Hilversum,NL,Utrecht Centraal,NL,18
Leiden Centraal,NL,Utrecht Centraal,NL,50
Leeuwarden,NL,Utrecht Centraal,NL,182
Maarn,NL,Utrecht Centraal,NL,20
Nijmegen,NL,Utrecht Centraal,NL,77
Rheden,NL,Utrecht Centraal,NL,68
Rotterdam Centraal,NL,Utrecht Centraal,NL,56
Tilburg,NL,Utrecht Centraal,NL,70
Vlissingen,NL,Utrecht Centraal,NL,188
Zwolle,NL,Utrecht Centraal,NL,87
Arnhem Centraal,NL,Vlissingen,NL,204
Amersfoort Centraal,NL,Vlissingen,NL,209
Breda,NL,Vlissingen,NL,99
Bunnik,NL,Vlissingen,NL,194
Driebergen-Zeist,NL,Vlissingen,NL,198
Diemen,NL,Vlissingen,NL,218
Dronten,NL,Vlissingen,NL,285
Delft,NL,Vlissingen,NL,147
Deventer,NL,Vlissingen,NL,249
Ede-Wageningen,NL,Vlissingen,NL,221
Ede Centrum,NL,Vlissingen,NL,223
Eindhoven Centraal,NL,Vlissingen,NL,157
Enschede,NL,Vlissingen,NL,286
Groningen,NL,Vlissingen,NL,381
Haarlem,NL,Vlissingen,NL,200
Heerlen,NL,Vlissingen,NL,231
Hilversum,NL,Vlissingen,NL,206
Leiden Centraal,NL,Vlissingen,NL,171
Leeuwarden,NL,Vlissingen,NL,370
Maarn,NL,Vlissingen,NL,206
Nijmegen,NL,Vlissingen,NL,185
Rheden,NL,Vlissingen,NL,214
Rotterdam Centraal,NL,Vlissingen,NL,133
Tilburg,NL,Vlissingen,NL,120
Utrecht Centraal,NL,Vlissingen,NL,188
Zwolle,NL,Vlissingen,NL,275
Arnhem Centraal,NL,Zwolle,NL,76
Amersfoort Centraal,NL,Zwolle,NL,66
Breda,NL,Zwolle,NL,178
Bunnik,NL,Zwolle,NL,95
Driebergen-Zeist,NL,Zwolle,NL,99
Diemen,NL,Zwolle,NL,104
Dronten,NL,Zwolle,NL,32
Delft,NL,Zwolle,NL,156
Deventer,NL,Zwolle,NL,31
Ede-Wageningen,NL,Zwolle,NL,93
Ede Centrum,NL,Zwolle,NL,95
Eindhoven Centraal,NL,Zwolle,NL,167
Enschede,NL,Zwolle,NL,67
Groningen,NL,Zwolle,NL,106
Haarlem,NL,Zwolle,NL,130
Heerlen,NL,Zwolle,NL,101
Hilversum,NL,Zwolle,NL,82
Leiden Centraal,NL,Zwolle,NL,137
Leeuwarden,NL,Zwolle,NL,95
Maarn,NL,Zwolle,NL,107
Nijmegen,NL,Zwolle,NL,95
Rheden,NL,Zwolle,NL,66
Rotterdam Centraal,NL,Zwolle,NL,143
Tilburg,NL,Zwolle,NL,157
Utrecht Centraal,NL,Zwolle,NL,87
Vlissingen,NL,Zwolle,NL,275
