From_Station,From_Country,To_Station,To_Country,Fare_Rate
Heerlen,NL,Driebergen-Zeist,NL,73
Hilversum,NL,Driebergen-Zeist,NL,30
Leiden Centraal,NL,Driebergen-Zeist,NL,62
Leeuwarden,NL,Driebergen-Zeist,NL,194
Maarn,NL,Driebergen-Zeist,NL,8
Nijmegen,NL,Driebergen-Zeist,NL,65
Rheden,NL,Driebergen-Zeist,NL,56
Rotterdam Centraal,NL,Driebergen-Zeist,NL,68
Tilburg,NL,Driebergen-Zeist,NL,80
Utrecht Centraal,NL,Driebergen-Zeist,NL,12
Vlissingen,NL,Driebergen-Zeist,NL,198
Zwolle,NL,Driebergen-Zeist,NL,99
Arnhem Centraal,NL,Diemen,NL,89
Amersfoort Centraal,NL,Diemen,NL,38
Breda,NL,Diemen,NL,129
Bunnik,NL,Diemen,NL,46
Driebergen-Zeist,NL,Diemen,NL,50
Dronten,NL,Diemen,NL,72
Delft,NL,Diemen,NL,75
Deventer,NL,Diemen,NL,96
Ede-Wageningen,NL,Diemen,NL,72
Ede Centrum,NL,Diemen,NL,70
Eindhoven Centraal,NL,Diemen,NL,118
Enschede,NL,Diemen,NL,152
Groningen,NL,Diemen,NL,210
Haarlem,NL,Diemen,NL,26
Heerlen,NL,Diemen,NL,116
Hilversum,NL,Diemen,NL,22
Leiden Centraal,NL,Diemen,NL,51
Leeuwarden,NL,Diemen,NL,199
Maarn,NL,Diemen,NL,58
Nijmegen,NL,Diemen,NL,108
Rheden,NL,Diemen,NL,99
Rotterdam Centraal,NL,Diemen,NL,85
Tilburg,NL,Diemen,NL,108
Utrecht Centraal,NL,Diemen,NL,38
Vlissingen,NL,Diemen,NL,218
Zwolle,NL,Diemen,NL,104
Arnhem Centraal,NL,Dronten,NL,108
Amersfoort Centraal,NL,Dronten,NL,96
Breda,NL,Dronten,NL,189
Bunnik,NL,Dronten,NL,106
Driebergen-Zeist,NL,Dronten,NL,110
Diemen,NL,Dronten,NL,72
Delft,NL,Dronten,NL,142
Deventer,NL,Dronten,NL,63
Ede-Wageningen,NL,Dronten,NL,125
Ede Centrum,NL,Dronten,NL,127
Eindhoven Centraal,NL,Dronten,NL,178
Enschede,NL,Dronten,NL,99
Groningen,NL,Dronten,NL,138
Haarlem,NL,Dronten,NL,98
Heerlen,NL,Dronten,NL,133
Hilversum,NL,Dronten,NL,80
Leiden Centraal,NL,Dronten,NL,118
Leeuwarden,NL,Dronten,NL,127
Maarn,NL,Dronten,NL,118
Nijmegen,NL,Dronten,NL,127
Rheden,NL,Dronten,NL,98
Rotterdam Centraal,NL,Dronten,NL,152
Tilburg,NL,Dronten,NL,168
Utrecht Centraal,NL,Dronten,NL,98
